t_s,scenario,offset_ns,measured_offset_ns,path_delay_ns,pdv_ns,freq_error_ppb,oscillator_holdover_nominal_ppb,oscillator_holdover_tolerance_ppb,oscillator_disciplined_tolerance_ppb,gnss_reference_ns,ptp_reference_ns,peer_reference_ns,source_agreement_tolerance_ns,synce_ql,ptp_seq_id,ptp_msg_type,msg_rate_hz,grandmaster_identity,grandmaster_priority1,grandmaster_clock_class,grandmaster_clock_accuracy,offset_scaled_log_variance,grandmaster_priority2,steps_removed,time_source,gnss_sync_status,satellites_tracked,gnss_available,holdover,attack_flag,fault_flag,run_id,label
0.09306548200000009,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,1,Sync,0.0,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
0.741825444000014,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,2,Sync,0.0,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
1.3920330480000018,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,3,Sync,0.0,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
2.0537621400000035,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,4,Sync,0.0,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
2.7244129100000123,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,5,Sync,0.0,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
3.3891699370000055,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,6,Delay_Req,1.5043090322985186,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
4.05254002800001,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,7,Delay_Req,7.537270775145584,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
4.727566209000003,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,8,Delay_Req,7.407120109908825,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
5.395759283000004,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,9,Delay_Req,8.979440574087706,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
6.065752398000001,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,10,Delay_Req,7.462763255410502,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
6.781771490000011,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,11,Delay_Req,8.379664826032197,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
7.448178925000008,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,12,Delay_Req,10.504084486992612,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
8.108398010000002,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,13,Delay_Req,10.60254112466328,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
8.766753084000001,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,14,Delay_Req,6.075748722793325,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
9.422052017000013,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,15,Delay_Req,10.682147715323497,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
10.08308442900001,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,16,Delay_Req,6.051140499900353,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
10.741280817000003,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,17,Delay_Req,6.077213538279158,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
11.40560376900001,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,18,Delay_Req,4.5158758868231486,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
12.065582276,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,19,Delay_Req,10.606406005279343,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
12.730271033000008,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,20,Delay_Req,6.017854157867085,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
13.390062842000006,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,21,Delay_Req,7.578148033662564,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
14.05054903700001,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,22,Delay_Req,10.598253306414609,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
14.715122347000005,baseline,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,23,Delay_Req,7.523624444081334,c29a38.fffe.b34e68,128,248,254,65535,128,0,160,HOLDOVER,-1,False,True,False,False,0,healthy
