feature,live_pmc_nonconstant,live_pmc_unique_values,pcap_nonconstant,pcap_unique_values
offset_mean,True,142,True,282
offset_std,True,145,True,291
offset_abs_max,True,93,True,107
path_delay_mean,True,121,True,259
pdv_std,True,100,True,273
seq_regressions,False,1,True,5
msg_irregularity,True,6,True,24
synce_ql_max,False,1,False,1
gnss_loss_rate,False,1,False,1
holdover_rate,False,1,True,4
msg_rate_mean,True,146,True,221
msg_rate_std,True,146,True,211
gm_identity_changes,False,1,False,1
gm_identity_churn,False,1,False,1
clock_class_changes,False,1,False,1
clock_class_improve_jump,False,1,False,1
priority1_changes,False,1,False,1
steps_removed_changes,False,1,False,1
steps_removed_min,False,1,False,1
gnss_status_changes,False,1,False,1
antenna_fault_rate,False,1,False,1
satellites_drop_max,False,1,False,1
satellites_mean,False,1,False,1
holdover_entry_count,False,1,False,1
drift_vs_declared_state_residual,True,146,True,4
holdover_spec_violation_rate,False,1,True,4
status_behaviour_disagreement,False,1,True,4
offset_step_vs_drift_ratio,True,120,True,90
