feature_set,scenario,class_label,windows,recall
a_ptp_only,gnss_loss_holdover,H0,60,0.2833333333333333
a_ptp_only,gnss_spoof,H1,59,0.8135593220338984
a_ptp_only,gnss_jam,H1,59,0.8813559322033898
a_ptp_only,pooled_H1,H1,118,0.847457627118644
b_ptp_timesource,gnss_loss_holdover,H0,60,0.7333333333333333
b_ptp_timesource,gnss_spoof,H1,59,1.0
b_ptp_timesource,gnss_jam,H1,59,0.3220338983050847
b_ptp_timesource,pooled_H1,H1,118,0.6610169491525424
c_ptp_timesource_consistency,gnss_loss_holdover,H0,60,1.0
c_ptp_timesource_consistency,gnss_spoof,H1,59,1.0
c_ptp_timesource_consistency,gnss_jam,H1,59,1.0
c_ptp_timesource_consistency,pooled_H1,H1,118,1.0
