feature_set,held_out_attack,benign_scenario,benign_windows,persistent_h1_false_positive_rate,persistent_unknown_rate,combined_protective_false_alarm_rate
a_ptp_only,gnss_spoof_single_source,peer_source_degraded,59,0.0,0.0,0.0
a_ptp_only,gnss_spoof_single_source,path_asymmetry_benign,60,0.0,0.0,0.0
a_ptp_only,gnss_spoof_all_sources,peer_source_degraded,59,0.0,0.0,0.0
a_ptp_only,gnss_spoof_all_sources,path_asymmetry_benign,60,0.0,0.0,0.0
a_ptp_only,gnss_jam,peer_source_degraded,59,0.0,0.0,0.0
a_ptp_only,gnss_jam,path_asymmetry_benign,60,0.0,0.0,0.0
b_ptp_timesource,gnss_spoof_single_source,peer_source_degraded,59,0.0,0.0,0.0
b_ptp_timesource,gnss_spoof_single_source,path_asymmetry_benign,60,0.0,0.0,0.0
b_ptp_timesource,gnss_spoof_all_sources,peer_source_degraded,59,0.0,0.0,0.0
b_ptp_timesource,gnss_spoof_all_sources,path_asymmetry_benign,60,0.0,0.0,0.0
b_ptp_timesource,gnss_jam,peer_source_degraded,59,0.0,0.0,0.0
b_ptp_timesource,gnss_jam,path_asymmetry_benign,60,0.0,0.0,0.0
c_ptp_timesource_consistency,gnss_spoof_single_source,peer_source_degraded,59,0.0,0.0,0.0
c_ptp_timesource_consistency,gnss_spoof_single_source,path_asymmetry_benign,60,0.0,0.0,0.0
c_ptp_timesource_consistency,gnss_spoof_all_sources,peer_source_degraded,59,0.0,0.0,0.0
c_ptp_timesource_consistency,gnss_spoof_all_sources,path_asymmetry_benign,60,0.0,0.0,0.0
c_ptp_timesource_consistency,gnss_jam,peer_source_degraded,59,0.0,0.0,0.0
c_ptp_timesource_consistency,gnss_jam,path_asymmetry_benign,60,0.0,0.0,0.0
d_cross_source,gnss_spoof_single_source,peer_source_degraded,59,0.0,0.03389830508474576,0.03389830508474576
d_cross_source,gnss_spoof_single_source,path_asymmetry_benign,60,0.0,0.0,0.0
d_cross_source,gnss_spoof_all_sources,peer_source_degraded,59,0.0,0.0,0.0
d_cross_source,gnss_spoof_all_sources,path_asymmetry_benign,60,0.0,0.0,0.0
d_cross_source,gnss_jam,peer_source_degraded,59,0.0,0.03389830508474576,0.03389830508474576
d_cross_source,gnss_jam,path_asymmetry_benign,60,0.0,0.0,0.0
