t_s,scenario,offset_ns,measured_offset_ns,path_delay_ns,offset_valid,path_delay_valid,telemetry_valid,stale_s,pdv_ns,freq_error_ppb,oscillator_holdover_nominal_ppb,oscillator_holdover_tolerance_ppb,oscillator_disciplined_tolerance_ppb,gnss_reference_ns,ptp_reference_ns,peer_reference_ns,source_agreement_tolerance_ns,synce_ql,ptp_seq_id,ptp_msg_type,msg_rate_hz,grandmaster_identity,grandmaster_priority1,grandmaster_clock_class,grandmaster_clock_accuracy,offset_scaled_log_variance,grandmaster_priority2,steps_removed,time_source,gnss_sync_status,satellites_tracked,gnss_available,holdover,attack_flag,fault_flag,run_id,label
0.123605893,netem_baseline,-4298.0,-4298.0,0.0,True,True,True,0.0,2721.5,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,0,Sync,3.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.123878463,netem_baseline,-4298.0,-4298.0,0.0,True,True,True,0.0,2721.5,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,0,Follow_Up,3.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.248866846,netem_baseline,-11491.0,-11491.0,0.0,True,True,True,0.0,2721.5,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,1,Sync,5.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.249402964,netem_baseline,-11491.0,-11491.0,0.0,True,True,True,0.0,2721.5,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,1,Follow_Up,5.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.374182814,netem_baseline,-10992.0,-10992.0,0.0,True,True,True,0.0,2721.5,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,2,Sync,7.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.374726427,netem_baseline,-10992.0,-10992.0,0.0,True,True,True,0.0,2721.5,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,2,Follow_Up,7.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.499450317,netem_baseline,-5396.0,-5396.0,0.0,True,True,True,0.0,2721.5,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,3,Sync,9.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.499785079,netem_baseline,-5396.0,-5396.0,0.0,True,True,True,0.0,2721.5,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,3,Follow_Up,9.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.624665257,netem_baseline,-5096.0,-5096.0,0.0,True,True,True,0.0,2721.5,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,4,Sync,11.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.62499862,netem_baseline,-5096.0,-5096.0,0.0,True,True,True,0.0,2721.5,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,4,Follow_Up,11.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
