t_s,scenario,offset_ns,measured_offset_ns,path_delay_ns,pdv_ns,freq_error_ppb,synce_ql,ptp_seq_id,ptp_msg_type,gnss_available,holdover,attack_flag,fault_flag,run_id,label
0.12434314,netem_loss,-4202.0,-4202.0,0.0,0.0,0.0,1,0,Sync,True,True,False,False,0,H0
0.249453399,netem_loss,-4106.0,-4106.0,0.0,0.0,0.0,1,1,Sync,True,True,False,False,0,H0
23.821055562,netem_loss,-6574.0,-6574.0,0.0,0.0,0.0,1,3,Sync,True,True,False,False,0,H0
47.884906639,netem_loss,-4114.0,-4114.0,0.0,0.0,0.0,1,5,Sync,True,True,False,False,0,H0
48.009912861,netem_loss,-4395.0,-4395.0,0.0,0.0,0.0,1,6,Sync,True,True,False,False,0,H0
48.134923757,netem_loss,-4301.0,-4301.0,0.0,0.0,0.0,1,7,Sync,True,True,False,False,0,H0
48.260037499,netem_loss,-4301.0,-4301.0,0.0,0.0,0.0,1,8,Sync,True,True,False,False,0,H0
48.385045871,netem_loss,-4394.0,-4394.0,0.0,0.0,0.0,1,9,Sync,True,True,False,False,0,H0
48.510107629,netem_loss,-3927.0,-3927.0,0.0,0.0,0.0,1,10,Sync,True,True,False,False,0,H0
48.635116375,netem_loss,-4488.0,-4488.0,0.0,0.0,0.0,1,11,Sync,True,True,False,False,0,H0
48.760161491,netem_loss,-4395.0,-4395.0,0.0,0.0,0.0,1,12,Sync,True,True,False,False,0,H0
48.885197444,netem_loss,-4114.0,-4114.0,0.0,0.0,0.0,1,13,Sync,True,True,False,False,0,H0
49.010210678,netem_loss,-4208.0,-4208.0,0.0,0.0,0.0,1,14,Sync,True,True,False,False,0,H0
49.135228306,netem_loss,-3834.0,-3834.0,0.0,0.0,0.0,1,15,Sync,True,True,False,False,0,H0
49.260359532,netem_loss,-3927.0,-3927.0,0.0,0.0,0.0,1,16,Sync,True,True,False,False,0,H0
49.385387725,netem_loss,-4581.0,-4581.0,0.0,0.0,0.0,1,17,Sync,True,True,False,False,0,H0
74.635032871,netem_loss,-5717.0,-5717.0,0.0,0.0,0.0,1,19,Sync,True,True,False,False,0,H0
74.76001875,netem_loss,-4498.0,-4498.0,0.0,0.0,0.0,1,20,Sync,True,True,False,False,0,H0
