domain,attack_family,mode,group,threshold,comparison,per_group_target_rate,total_target_rate,calibration_windows
simulated,spoof,bmca_global,global,0.6444147034386182,>,0.020000000000000018,0.02,297
simulated,spoof,bmca_group,timing,0.6343554797762316,>,0.0018349242204882543,0.02,297
simulated,spoof,bmca_group,protocol,0.6154953466462475,>,0.012773979495523502,0.02,297
simulated,spoof,bmca_group,rate,0.6626442187071006,>,0.0018349242204882543,0.02,297
simulated,spoof,bmca_group,bmca,0.8129353477436301,>,0.0018349242204882543,0.02,297
simulated,spoof,bmca_group,timesource,0.7420233517515479,>,0.0018349242204882543,0.02,297
simulated,replay,bmca_global,global,0.6014224022120265,>,0.020000000000000018,0.02,297
simulated,replay,bmca_group,timing,0.6441400923900346,>,0.0018349242204882543,0.02,297
simulated,replay,bmca_group,protocol,0.8162975127515482,>,0.012773979495523502,0.02,297
simulated,replay,bmca_group,rate,0.6763919410653475,>,0.0018349242204882543,0.02,297
simulated,replay,bmca_group,bmca,0.7529921487268314,>,0.0018349242204882543,0.02,297
simulated,replay,bmca_group,timesource,0.7317197418460812,>,0.0018349242204882543,0.02,297
simulated,dos,bmca_global,global,0.604225032329774,>,0.020000000000000018,0.02,297
simulated,dos,bmca_group,timing,0.6233335972321739,>,0.0018349242204882543,0.02,297
simulated,dos,bmca_group,protocol,0.6119616704513476,>,0.012773979495523502,0.02,297
simulated,dos,bmca_group,rate,0.8072357123047652,>,0.0018349242204882543,0.02,297
simulated,dos,bmca_group,bmca,0.7529921487268314,>,0.0018349242204882543,0.02,297
simulated,dos,bmca_group,timesource,0.7342224529988781,>,0.0018349242204882543,0.02,297
simulated,gnss_spoof,bmca_global,global,0.5984252853751519,>,0.020000000000000018,0.02,297
simulated,gnss_spoof,bmca_group,timing,0.6129415437994832,>,0.0018349242204882543,0.02,297
simulated,gnss_spoof,bmca_group,protocol,0.6111299869372429,>,0.012773979495523502,0.02,297
simulated,gnss_spoof,bmca_group,rate,0.6566871383288418,>,0.0018349242204882543,0.02,297
simulated,gnss_spoof,bmca_group,bmca,0.7548000697444389,>,0.0018349242204882543,0.02,297
simulated,gnss_spoof,bmca_group,timesource,0.7284723352517384,>,0.0018349242204882543,0.02,297
simulated,gnss_jam,bmca_global,global,0.6091869983651071,>,0.020000000000000018,0.02,297
simulated,gnss_jam,bmca_group,timing,0.6194196630486261,>,0.0018349242204882543,0.02,297
simulated,gnss_jam,bmca_group,protocol,0.6150923441241994,>,0.012773979495523502,0.02,297
simulated,gnss_jam,bmca_group,rate,0.6690034667780658,>,0.0018349242204882543,0.02,297
simulated,gnss_jam,bmca_group,bmca,0.7625317485250538,>,0.0018349242204882543,0.02,297
simulated,gnss_jam,bmca_group,timesource,0.7817053351751826,>,0.0018349242204882543,0.02,297
timesafe_real,announce,bmca_global,global,0.6081165538447519,>,0.020000000000000018,0.02,156
timesafe_real,announce,bmca_group,timing,0.6518757982468356,>,0.0018349242204882543,0.02,156
timesafe_real,announce,bmca_group,protocol,0.6890141646144792,>,0.012773979495523502,0.02,156
timesafe_real,announce,bmca_group,rate,0.7497104114175059,>,0.0018349242204882543,0.02,156
timesafe_real,announce,bmca_group,bmca,0.4890454973195828,>,0.0018349242204882543,0.02,156
timesafe_real,announce,bmca_group,timesource,0.6822563168062098,>,0.0018349242204882543,0.02,156
timesafe_real,sync_follow_up,bmca_global,global,0.6906232508447099,>,0.020000000000000018,0.02,156
timesafe_real,sync_follow_up,bmca_group,timing,0.7462897130043257,>,0.0018349242204882543,0.02,156
timesafe_real,sync_follow_up,bmca_group,protocol,0.7545602109360454,>,0.012773979495523502,0.02,156
timesafe_real,sync_follow_up,bmca_group,rate,0.8145855579913901,>,0.0018349242204882543,0.02,156
timesafe_real,sync_follow_up,bmca_group,bmca,0.6365998332001095,>,0.0018349242204882543,0.02,156
timesafe_real,sync_follow_up,bmca_group,timesource,0.6377270050023502,>,0.0018349242204882543,0.02,156
timesafe_real,sync_single_step,bmca_global,global,0.6711808659525984,>,0.020000000000000018,0.02,132
timesafe_real,sync_single_step,bmca_group,timing,0.5868990272756914,>,0.0018349242204882543,0.02,132
timesafe_real,sync_single_step,bmca_group,protocol,0.755890634730928,>,0.012773979495523502,0.02,132
timesafe_real,sync_single_step,bmca_group,rate,0.8249035515960371,>,0.0018349242204882543,0.02,132
timesafe_real,sync_single_step,bmca_group,bmca,0.718411854523105,>,0.0018349242204882543,0.02,132
timesafe_real,sync_single_step,bmca_group,timesource,0.7757458336559099,>,0.0018349242204882543,0.02,132
