domain,attack_family,setting,n,m,stream_id,detected,raw_time_to_detection_s,time_to_decision_s,added_detection_latency_s,within_2s
simulated,dos,1-of-1,1,1,ptp_dos_flood:0,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:1,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:10,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:11,True,0.3999999999999999,0.3999999999999999,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:2,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:3,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:4,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:5,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:6,True,0.20000000000000018,0.20000000000000018,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:7,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:8,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:9,True,0.0,0.0,0.0,True
simulated,gnss_jam,1-of-1,1,1,gnss_jam:0,False,,,,False
simulated,gnss_jam,1-of-1,1,1,gnss_jam:1,False,,,,False
simulated,gnss_jam,1-of-1,1,1,gnss_jam:10,False,,,,False
simulated,gnss_jam,1-of-1,1,1,gnss_jam:11,False,,,,False
simulated,gnss_jam,1-of-1,1,1,gnss_jam:2,False,,,,False
simulated,gnss_jam,1-of-1,1,1,gnss_jam:3,False,,,,False
simulated,gnss_jam,1-of-1,1,1,gnss_jam:4,False,,,,False
simulated,gnss_jam,1-of-1,1,1,gnss_jam:5,False,,,,False
simulated,gnss_jam,1-of-1,1,1,gnss_jam:6,False,,,,False
simulated,gnss_jam,1-of-1,1,1,gnss_jam:7,False,,,,False
