domain,attack_family,setting,n,m,benign_windows,benign_false_alarm_rate,alarms_per_hour,false_alarm_episodes,episode_alarms_per_hour,attack_windows,combined_protective_rate,attack_episodes,episode_detection_rate,mean_time_to_decision_s,max_time_to_decision_s,mean_added_detection_latency_s,within_2s_episode_rate
simulated,dos,1-of-1,1,1,298,0.03355704697986577,604.0268456375838,8,483.2214765100671,179,0.9441340782122905,12,1.0,0.0,0.0,0.0,1.0
simulated,gnss_jam,1-of-1,1,1,298,0.030201342281879196,543.6241610738255,7,422.8187919463087,178,0.9775280898876404,12,1.0,0.050000000000000024,0.40000000000000013,0.0,1.0
simulated,gnss_spoof,1-of-1,1,1,298,0.03355704697986577,604.0268456375838,8,483.2214765100671,179,0.0,12,0.0,,,,0.0
simulated,replay,1-of-1,1,1,298,0.03691275167785235,664.4295302013422,9,543.6241610738255,179,0.8547486033519553,12,1.0,0.11666666666666668,0.40000000000000036,0.0,1.0
simulated,spoof,1-of-1,1,1,298,0.026845637583892617,483.2214765100671,6,362.4161073825503,179,1.0,12,1.0,0.0,0.0,0.0,1.0
timesafe_real,announce,1-of-1,1,1,134,0.04477611940298507,805.9701492537313,4,537.3134328358209,6959,1.0,3,1.0,0.0,0.0,0.0,1.0
timesafe_real,sync_follow_up,1-of-1,1,1,89,0.056179775280898875,1011.2359550561797,4,808.9887640449438,298,1.0,1,1.0,0.0,0.0,0.0,1.0
timesafe_real,sync_single_step,1-of-1,1,1,156,0.038461538461538464,692.3076923076924,4,461.5384615384615,298,1.0,1,1.0,0.0,0.0,0.0,1.0
simulated,dos,2-of-3,2,3,298,0.013422818791946308,241.61073825503354,2,120.80536912751677,179,0.88268156424581,12,1.0,0.21666666666666679,0.3999999999999999,0.21666666666666679,1.0
simulated,gnss_jam,2-of-3,2,3,298,0.013422818791946308,241.61073825503354,2,120.80536912751677,178,0.9157303370786517,12,1.0,0.24999999999999992,0.5999999999999999,0.19999999999999996,1.0
simulated,gnss_spoof,2-of-3,2,3,298,0.013422818791946308,241.61073825503354,2,120.80536912751677,179,0.0,12,0.0,,,,0.0
simulated,replay,2-of-3,2,3,298,0.013422818791946308,241.61073825503354,2,120.80536912751677,179,0.8044692737430168,12,1.0,0.3666666666666667,0.6000000000000001,0.25,1.0
simulated,spoof,2-of-3,2,3,298,0.013422818791946308,241.61073825503354,2,120.80536912751677,179,0.9329608938547486,12,1.0,0.19999999999999996,0.20000000000000018,0.19999999999999996,1.0
timesafe_real,announce,2-of-3,2,3,134,0.022388059701492536,402.98507462686564,1,134.32835820895522,6959,0.9995689035781004,3,1.0,0.20000000000000037,0.20000000000000107,0.20000000000000037,1.0
timesafe_real,sync_follow_up,2-of-3,2,3,89,0.033707865168539325,606.7415730337078,2,404.4943820224719,298,0.9966442953020134,1,1.0,0.20000000000000107,0.20000000000000107,0.20000000000000107,1.0
