feature,importance,is_bmca_feature,overall_rank
clock_class_changes,0.1820270923297045,True,1
gm_identity_changes,0.16738801129723477,True,2
steps_removed_changes,0.1615240537656107,True,3
msg_rate_mean,0.0958205996632703,False,4
seq_regressions,0.08513332524729414,False,5
msg_irregularity,0.0823809150623665,False,6
clock_class_improve_jump,0.06850704498542295,True,7
gm_identity_churn,0.04421401766336317,True,8
holdover_rate,0.04310106466386227,False,9
pdv_std,0.02408257113639542,False,10
gnss_loss_rate,0.02039160159819963,False,11
steps_removed_min,0.01427816215989091,True,12
offset_abs_max,0.005272708657133795,False,13
path_delay_mean,0.005057432280246174,False,14
msg_rate_std,0.0003035049951316362,False,15
offset_mean,0.0002899335962219929,False,16
offset_std,0.0002279608986512628,False,17
priority1_changes,3.368717202525754e-20,True,18
synce_ql_max,0.0,False,19
